id;time;x;y;z
1658;1708636173077;-0.06460621;0.34127632;9.910772
1659;1708636173277;-0.06759724;0.34666017;9.914362
1660;1708636173475;-0.066400826;0.34666017;9.9140625
1661;1708636173678;-0.064905316;0.34606197;9.912866
1662;1708636173877;-0.067896344;0.34277186;9.9140625
1663;1708636174077;-0.06580263;0.34785658;9.913165
1664;1708636174275;-0.06550352;0.34426737;9.91137
1665;1708636174476;-0.06909275;0.34337005;9.91496
1666;1708636174675;-0.06520442;0.3502494;9.911968
1667;1708636174874;-0.06819545;0.34307095;9.909875
1668;1708636175075;-0.07148558;0.3475575;9.916455
1669;1708636175275;-0.07088737;0.34456646;9.910772
1670;1708636175475;-0.06610172;0.34576288;9.911968
1671;1708636175676;-0.062213387;0.34486556;9.913165
1672;1708636175875;-0.07148558;0.34546378;9.912567
1673;1708636176075;-0.071186475;0.34636107;9.911968
1674;1708636176277;-0.06759724;0.34127632;9.911968
1675;1708636176477;-0.06909275;0.34307095;9.918848
1676;1708636176676;-0.075673014;0.37597227;9.912866
1677;1708636176875;-0.10199407;0.2644069;9.912866
1678;1708636177076;-0.084346995;0.3481557;9.935897
1679;1708636177277;-0.4432704;-2.818446;14.177474
1680;1708636177475;-0.20488544;-3.054438;13.819149
1681;1708636177673;1.0277174;2.978466;9.570394
1682;1708636177875;0.4881358;1.7784654;7.0558357
1683;1708636178075;4.13061;3.6490545;6.3254266
1684;1708636178275;2.9676983;5.7469616;4.5708895
1685;1708636178476;3.7157545;5.4996037;5.5926247
1686;1708636178676;4.9674997;5.293223;6.365207
1687;1708636178876;-0.06460621;0.7636095;-0.23928227
1688;1708636179074;-0.4432704;-0.022731815;0.7686943
1689;1708636179274;-0.13489537;-0.15972091;1.2544373
1690;1708636179473;0.392722;5.7933226;14.418252
1691;1708636179674;-0.046959143;-0.20039889;9.569496
1692;1708636179876;-0.5712864;0.6221339;8.650054
1693;1708636180074;-0.55692947;0.56859446;9.888938
1694;1708636180273;-0.5629115;0.56500524;9.889236
1695;1708636180475;-0.5599205;0.5706882;9.887443
1696;1708636180672;-0.5632106;0.567099;9.893424
1697;1708636180875;-0.5590232;0.56829536;9.89163
1698;1708636181076;-0.62751776;0.61884373;9.78515
1699;1708636181273;-0.5401797;0.8279166;13.020246
